composite_id,url_id,source,property_search_type,property_type_code,property_type,url,property_link,title,layout_type,bedroom_count,is_studio,area_m2,size_band,price_czk,price_per_m2_czk,price_tier,full_address,street_address,borough_name,district_name,prague_zone,prague_ring,location_quality,city_name,region_name,country_name,latitude,longitude,seller_type,floor,floor_category,ownership_type,energy_class,is_new_build,description,details_json,has_balcony,has_parking,has_terrace,has_elevator,has_cellar,amenity_score,first_seen_at,last_seen_at,snapshot_date,is_active,is_removed,removed_at,relisted,relisted_at,price_changed,previous_price_czk,price_change_czk,price_change_pct,listing_duration_days,listing_age_bucket,removed_duration_days,price_vs_district_median_pct
sreality_byt_3442627404,3442627404,sreality,byt,byt,byty,,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-kbely-sedlarova/3442627404,"Prodej bytu 4+kk 105 m² Sedlářova, Praha - Kbely 17 450 000 Kč",4+kk,,,105.0,,17450000.0,166190.48,,"Sedlářova, Praha - Kbely",Sedlářova,Kbely,Praha 19,Praha 19,,ok,Praha,Praha,Czech Republic,50.13513946533203,14.546544075012209,agency,,,osobní,E,,"Byt 4+kk 105 m² k prodeji Sedlářova, Praha - Kbely; 17 450 000 Kč, terasa, sklep, parkování, přízemní, osobní vlastnictví, novostavba","{'cellar': True, 'balcony': False, 'parking': True, 'terrace': True, 'elevator': False}",,,,,,,2026-04-23 12:31:01.178533+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_1825477452,1825477452,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+kk/kladno-krocehlavy-wolkerova/1825477452,"Prodej bytu 2+kk 57 m² Wolkerova, Kladno - Kročehlavy 7 280 000 Kč",2+kk,,,57.0,,7280000.0,127719.3,,"Wolkerova, Kladno - Kročehlavy",Wolkerova,Kladno - Kročehlavy,Kladno - Kročehlavy,,,ok,,Středočeský kraj,Czech Republic,50.131065368652344,14.113940238952637,agency,,,osobní,E,,"Byt 2+kk 57 m² k prodeji Wolkerova, Kladno - Kročehlavy; 7 280 000 Kč, balkón, výtah, patrový, osobní vlastnictví, projekt","{'cellar': False, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_229548108,229548108,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+kk/cesky-brod-cesky-brod-zborovska/229548108,"Prodej bytu 2+kk 96 m² Zborovská, Český Brod 9 990 000 Kč",2+kk,,,96.0,,9990000.0,104062.5,,"Zborovská, Český Brod",Zborovská,Český Brod,Český Brod,,,ok,,Středočeský kraj,Czech Republic,50.07573318481445,14.863356590270996,agency,,,osobní,E,,"Byt 2+kk 96 m² k prodeji Zborovská, Český Brod; 9 990 000 Kč, balkón, sklep, parkování, garáž, bezbariérový, výtah, patrový, osobní vlastnictví, novostavba","{'cellar': True, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_dum_sc_1361777484,1361777484,sreality,dum_sc,dum,domy,,https://www.sreality.cz/detail/prodej/dum/rodinny/revnice-revnice-pod-drahou/1361777484,"Prodej rodinného domu 174 m², pozemek 537 m² Pod Drahou, Řevnice 13 990 000 Kč",,,,174.0,,13990000.0,80402.3,,", pozemek 537 m² Pod Drahou, Řevnice",,Řevnice,Řevnice,,,ok,,Středočeský kraj,Czech Republic,49.90739822387695,14.23319149017334,agency,,,osobní,D,,"Rodinný dům 174 m² k prodeji Pod Drahou, Řevnice; 13 990 000 Kč, (Cena včetně provize RK a kompletního právního servisu), zahrada, parkování, garáž, patrový, samostatný dům, ve velmi dobrém stavu","{'cellar': False, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_dum_sc_1553182796,1553182796,sreality,dum_sc,dum,domy,,https://www.sreality.cz/detail/prodej/dum/rodinny/uzice-netreba-/1553182796,"Prodej rodinného domu 126 m², pozemek 246 m² Úžice - Netřeba 10 990 000 Kč",,,,126.0,,10990000.0,87222.22,,", pozemek 246 m² Úžice - Netřeba",,pozemek 246 m² Úžice - Netřeba,pozemek 246 m² Úžice - Netřeba,,,ok,,Středočeský kraj,Czech Republic,50.27417755126953,14.395744323730469,agency,,,osobní,E,,"Rodinný dům 126 m² k prodeji Úžice - Netřeba; 10 990 000 Kč, (včetně DPH, včetně poplatků, včetně provize, včetně právního servisu), parkování, přízemní, samostatný dům, novostavba","{'cellar': False, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_510767180,510767180,sreality,byt,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-ruzyne-ciolkovskeho/510767180,"Prodej bytu 2+kk 42 m² Ciolkovského, Praha - Ruzyně 5 980 000 Kč",2+kk,,,42.0,,5980000.0,142380.95,,"Ciolkovského, Praha - Ruzyně",Ciolkovského,Ruzyně,Praha 6,Praha 6,,ok,Praha,Praha,Czech Republic,50.09000778198242,14.309219360351562,agency,,,osobní,,,"Byt 2+kk 42 m² k prodeji Ciolkovského, Praha - Ruzyně; 5 980 000 Kč, sklep, výtah, přízemní, osobní vlastnictví, ve velmi dobrém stavu","{'cellar': True, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-28 09:14:54.862572+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_3840843852,3840843852,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/1+kk/kutna-hora-karlov-v-zakouti/3840843852,"Prodej bytu 1+kk 38 m² V Zákoutí, Kutná Hora - Karlov 3 998 000 Kč",1+kk,,,38.0,,3998000.0,105210.53,,"V Zákoutí, Kutná Hora - Karlov",V Zákoutí,Kutná Hora - Karlov,Kutná Hora - Karlov,,,ok,,Středočeský kraj,Czech Republic,49.94868469238281,15.282331466674805,agency,,,osobní,D,,"Byt 1+kk 38 m² k prodeji V Zákoutí, Kutná Hora - Karlov; 3 998 000 Kč, (+ 2.000,- služby, bez poplatků), balkón, sklep, patrový, osobní vlastnictví, novostavba","{'cellar': True, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_668296012,668296012,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/3+kk/milicin-milicin-/668296012,Prodej bytu 3+kk 74 m² Miličín 3 985 000 Kč,3+kk,,,74.0,,3985000.0,53851.35,,Miličín,Miličín,Miličín,Miličín,,,ok,,Středočeský kraj,Czech Republic,49.57252502441406,14.65951442718506,agency,,,osobní,,,"Byt 3+kk 74 m² k prodeji Miličín; 3 985 000 Kč, sklep, parkování, patrový, osobní vlastnictví, ve velmi dobrém stavu","{'cellar': True, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_1100043084,1100043084,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+kk/statenice-statenice-zelena/1100043084,"Prodej bytu 2+kk 61 m² Zelená, Statenice 8 989 000 Kč",2+kk,,,61.0,,8989000.0,147360.66,,"Zelená, Statenice",Zelená,Statenice,Statenice,,,ok,,Středočeský kraj,Czech Republic,50.14175033569336,14.318655014038086,agency,,,osobní,D,,"Byt 2+kk 61 m² k prodeji Zelená, Statenice; 8 989 000 Kč, výtah, patrový, osobní vlastnictví, ve velmi dobrém stavu","{'cellar': True, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_3412669260,3412669260,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/3+kk/uhonice-uhonice-ke-hristi/3412669260,"Prodej bytu 3+kk 83 m² Ke Hřišti, Úhonice 13 860 000 Kč",3+kk,,,83.0,,13860000.0,166987.95,,"Ke Hřišti, Úhonice",Ke Hřišti,Úhonice,Úhonice,,,ok,,Středočeský kraj,Czech Republic,50.03415298461914,14.23064136505127,agency,,,osobní,E,,"Byt 3+kk 83 m² k prodeji Ke Hřišti, Úhonice; 13 860 000 Kč, (Neplatíte provizi RK!), terasa, zahrada, parkování, patrový, osobní vlastnictví, novostavba","{'cellar': False, 'balcony': False, 'parking': True, 'terrace': True, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
