scraped_at,source,property_type,district_name,listing_count,total_market_value_czk,average_asking_price_czk,median_asking_price_czk,median_price_per_m2_czk,average_area_m2
2026-04-23 13:31:01.178533,bezrealitky,byty,Praha - Ostatní,28,0.0,,,,
2026-04-23 13:31:01.178533,bezrealitky,domy,Praha - Ostatní,3,0.0,,,,
2026-04-23 13:31:01.178533,bezrealitky,ostatni,Praha - Ostatní,3,0.0,,,,
2026-04-23 13:31:01.178533,bezrealitky,pozemky,Praha - Ostatní,3,0.0,,,,
2026-04-23 13:31:01.178533,sreality,byty,Bohnice,42,373676619.0,8897062.357142856,8495000.0,146303.77500000002,61.61904761904762
2026-04-23 13:31:01.178533,sreality,byty,Braník,55,513955319.0,9697270.169811321,8990000.0,171519.05,60.14545454545455
2026-04-23 13:31:01.178533,sreality,byty,Bubeneč,45,766850489.0,17428420.204545453,16740000.0,182484.84499999997,89.31111111111112
2026-04-23 13:31:01.178533,sreality,byty,Běchovice,4,51518000.0,12879500.0,10984500.0,132991.57,87.75
2026-04-23 13:31:01.178533,sreality,byty,Břevnov,75,909044899.0,13567834.313432835,10790000.0,178378.38,82.49333333333334
2026-04-23 13:31:01.178533,sreality,byty,Březiněves,3,45974000.0,15324666.666666666,17492000.0,114326.8,138.66666666666666
2026-04-23 13:31:01.178533,sreality,byty,Chodov,133,1292031748.0,9862837.770992367,9346217.0,175648.65,60.80451127819549
2026-04-23 13:31:01.178533,sreality,byty,Dejvice,81,913905550.0,14279774.21875,13266300.0,178016.70500000002,89.54320987654322
2026-04-23 13:31:01.178533,sreality,byty,Dolní Chabry,24,244036900.0,11620804.761904761,9690000.0,160376.67,74.0
2026-04-23 13:31:01.178533,sreality,byty,Dolní Měcholupy,55,439991966.0,8461383.961538462,6845000.0,142080.02000000002,66.85454545454546
2026-04-23 13:31:01.178533,sreality,byty,Dolní Počernice,11,112206370.0,10200579.090909092,8748475.0,151756.89,68.0
2026-04-23 13:31:01.178533,sreality,byty,Dubeč,10,83431000.0,9270111.111111112,8400000.0,155555.56,59.7
2026-04-23 13:31:01.178533,sreality,byty,Hloubětín,67,642124897.0,9729165.106060605,8945000.0,173227.905,58.19402985074627
2026-04-23 13:31:01.178533,sreality,byty,Hlubočepy,200,1940655635.0,10160500.706806283,9182880.0,165454.55,67.445
2026-04-23 13:31:01.178533,sreality,byty,Hodkovičky,9,83674416.0,9297157.333333334,7100000.0,173170.73,53.888888888888886
2026-04-23 13:31:01.178533,sreality,byty,Holešovice,165,2599242788.0,16555686.547770701,12430000.0,205555.56,76.07272727272728
2026-04-23 13:31:01.178533,sreality,byty,Holyně,2,34520000.0,17260000.0,17260000.0,124574.54000000001,138.5
2026-04-23 13:31:01.178533,sreality,byty,Horní Měcholupy,24,237895000.0,9912291.666666666,9930000.0,144388.885,67.70833333333333
2026-04-23 13:31:01.178533,sreality,byty,Horní Počernice,10,105105000.0,10510500.0,8442500.0,129706.09,73.2
2026-04-23 13:31:01.178533,sreality,byty,Hostavice,16,195135700.0,12195981.25,12735000.0,136080.435,98.125
2026-04-23 13:31:01.178533,sreality,byty,Hostivař,50,523157163.0,10463143.26,9230000.0,161737.14500000002,68.48
2026-04-23 13:31:01.178533,sreality,byty,Hrdlořezy,20,302826372.0,15141318.6,13970000.0,182487.71000000002,84.5
2026-04-23 13:31:01.178533,sreality,byty,Háje,25,222028677.0,9653420.739130436,9100000.0,157000.0,65.4
2026-04-23 13:31:01.178533,sreality,byty,Jinonice,25,321567000.0,13981173.913043479,15890000.0,176176.47,83.36
2026-04-23 13:31:01.178533,sreality,byty,Josefov,9,180870985.0,36174197.0,26891985.0,277592.59,129.55555555555554
2026-04-23 13:31:01.178533,sreality,byty,Kamýk,59,532264998.0,9176982.72413793,8769999.5,173205.125,59.067796610169495
2026-04-23 13:31:01.178533,sreality,byty,Karlín,80,1103555307.0,14331887.103896104,13590000.0,194878.05,74.1
2026-04-23 13:31:01.178533,sreality,byty,Kbely,32,274124009.0,8566375.28125,8205000.0,161424.305,59.5
2026-04-23 13:31:01.178533,sreality,byty,Klánovice,3,58960000.0,19653333.333333332,19150000.0,160370.37,128.33333333333334
2026-04-23 13:31:01.178533,sreality,byty,Kobylisy,31,279327597.0,9010567.64516129,8500000.0,160000.0,59.61290322580645
2026-04-23 13:31:01.178533,sreality,byty,Koloděje,3,37180000.0,18590000.0,18590000.0,116187.5,148.33333333333334
2026-04-23 13:31:01.178533,sreality,byty,Komořany,10,102631016.0,10263101.6,7690813.0,148240.27000000002,69.5
2026-04-23 13:31:01.178533,sreality,byty,Košíře,108,1309128854.0,12467893.847619047,10500000.0,176372.55,76.0925925925926
2026-04-23 13:31:01.178533,sreality,byty,Královice,1,10390000.0,10390000.0,10390000.0,123690.48,84.0
2026-04-23 13:31:01.178533,sreality,byty,Krč,39,430912000.0,12311771.42857143,9900000.0,136233.77,88.53846153846153
2026-04-23 13:31:01.178533,sreality,byty,Kunratice,8,102080000.0,12760000.0,12450000.0,142137.2,88.5
2026-04-23 13:31:01.178533,sreality,byty,Kyje,30,255545000.0,9464629.629629629,8690000.0,154411.76,66.86666666666666
2026-04-23 13:31:01.178533,sreality,byty,Letňany,81,726947577.0,9319840.73076923,8640000.0,147075.47,123.41975308641975
2026-04-23 13:31:01.178533,sreality,byty,Lhotka,9,78930000.0,8770000.0,8650000.0,140468.75,61.77777777777778
2026-04-23 13:31:01.178533,sreality,byty,Libeň,157,1610046158.0,10454845.181818182,9432220.0,169995.0,64.2484076433121
2026-04-23 13:31:01.178533,sreality,byty,Liboc,11,166840000.0,15167272.727272727,15900000.0,157425.74,96.45454545454545
2026-04-23 13:31:01.178533,sreality,byty,Libuš,8,80976720.0,10122090.0,8950860.0,137130.905,74.875
2026-04-23 13:31:01.178533,sreality,byty,Lipence,3,29570000.0,9856666.666666666,8890000.0,107538.46,113.0
2026-04-23 13:31:01.178533,sreality,byty,Lochkov,27,317834000.0,11771629.629629629,10990000.0,156868.22,76.88888888888889
2026-04-23 13:31:01.178533,sreality,byty,Lysolaje,4,31670000.0,7917500.0,7845000.0,187489.105,44.25
2026-04-23 13:31:01.178533,sreality,byty,Malešice,25,230707042.0,10030740.956521738,9790000.0,140930.23,79.92
2026-04-23 13:31:01.178533,sreality,byty,Malá Strana,27,617294000.0,22862740.740740743,20900000.0,208791.21,117.70370370370371
2026-04-23 13:31:01.178533,sreality,byty,Michle,65,753282219.0,11770034.671875,10332500.0,166565.84999999998,70.84615384615384
2026-04-23 13:31:01.178533,sreality,byty,Miškovice,8,84297090.0,10537136.25,11788868.0,150735.475,69.375
2026-04-23 13:31:01.178533,sreality,byty,Modřany,80,838758350.0,11489840.410958905,10290000.0,172566.37,72.0125
