composite_id,url_id,source,property_search_type,url,property_link,title,description,seller_type,ownership_type,energy_class,floor,details_json,latitude,longitude,timestamp,exists
sreality_byt_2326590284,2326590284,sreality,byt,/detail/prodej/byt/4+kk/praha-smichov-siklove/2326590284,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-siklove/2326590284,"Prodej bytu 4+kk 107 m² Šiklové, Praha - Smíchov 24 033 480 Kč","Byt 4+kk 107 m² k prodeji Šiklové, Praha - Smíchov; 24 033 480 Kč, (Uvedená cena je včetně DPH, sklepa, bez parkovacího stání), lodžie, sklep, parkování, bezbariérový, výtah, nízkoenergetický, patrový, osobní vlastnictví, novostavba",agency,osobní,E,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.07487487792969,14.396063804626465,2026-04-23 13:31:01.178533,True
sreality_byt_397755212,397755212,sreality,byt,/detail/prodej/byt/3+1/praha-prosek-litomericka/397755212,https://www.sreality.cz/detail/prodej/byt/3+1/praha-prosek-litomericka/397755212,"Prodej bytu 3+1 75 m² Litoměřická, Praha - Prosek 10 200 000 Kč","Byt 3+1 75 m² k prodeji Litoměřická, Praha - Prosek; 10 200 000 Kč, (včetně poplatků, včetně provize, včetně právního servisu), balkón, sklep, výtah, přízemní, osobní vlastnictví, v dobrém stavu",agency,osobní,,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.128082275390625,14.475631713867188,2026-04-23 13:31:01.178533,True
sreality_byt_970748748,970748748,sreality,byt,/detail/prodej/byt/3+kk/praha-vinohrady-polska/970748748,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-polska/970748748,"Prodej bytu 3+kk 97 m² Polská, Praha - Vinohrady 25 990 000 Kč","Byt 3+kk 97 m² k prodeji Polská, Praha - Vinohrady; 25 990 000 Kč, bezbariérový, výtah, přízemní, osobní vlastnictví, po rekonstrukci",agency,osobní,,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.076904296875,14.441692352294922,2026-04-23 13:31:01.178533,True
sreality_byt_299324236,299324236,sreality,byt,/detail/prodej/byt/2+kk/praha-vysocany-odkolkova/299324236,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-odkolkova/299324236,"TIP Prodej bytu 2+kk 62 m² Odkolkova, Praha - Vysočany Cena na vyžádání","Byt 2+kk 62 m² k prodeji Odkolkova, Praha - Vysočany; Cena na vyžádání, balkón, sklep, parkování, přízemní, osobní vlastnictví, ve výstavbě",agency,osobní,D,,"{""balcony"": true, ""parking"": true, ""terrace"": true, ""elevator"": false, ""cellar"": true}",50.12013626098633,14.502717971801758,2026-04-23 13:31:01.178533,True
sreality_byt_3099411276,3099411276,sreality,byt,/detail/prodej/byt/3+1/praha-hlubocepy-pod-tresnemi/3099411276,https://www.sreality.cz/detail/prodej/byt/3+1/praha-hlubocepy-pod-tresnemi/3099411276,"Prodej bytu 3+1 68 m² Pod třešněmi, Praha - Hlubočepy 12 465 000 Kč","Byt 3+1 68 m² k prodeji Pod třešněmi, Praha - Hlubočepy; 12 465 000 Kč, balkón, sklep, parkování, garáž, výtah, patrový, osobní vlastnictví, ve výstavbě",agency,osobní,E,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.0319709777832,14.376190185546875,2026-04-23 13:31:01.178533,True
sreality_byt_4079722572,4079722572,sreality,byt,/detail/prodej/byt/2+kk/praha-dolni-mecholupy-honzikova/4079722572,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-mecholupy-honzikova/4079722572,"Prodej bytu 2+kk 44 m² Honzíkova, Praha - Dolní Měcholupy 2 490 000 Kč","Byt 2+kk 44 m² k prodeji Honzíkova, Praha - Dolní Měcholupy; 2 490 000 Kč, (+ anuita (zahrnuje byt, garážové stání a komoru)), balkón, sklep, garáž, bezbariérový, výtah, patrový, družstevní vlastnictví, novostavba",agency,osobní,E,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.06019973754883,14.557820320129395,2026-04-23 13:31:01.178533,True
sreality_byt_2149232716,2149232716,sreality,byt,/detail/prodej/byt/2+kk/praha-hlubocepy-devonska/2149232716,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hlubocepy-devonska/2149232716,"Prodej bytu 2+kk 60 m² Devonská, Praha - Hlubočepy 9 500 000 Kč","Byt 2+kk 60 m² k prodeji Devonská, Praha - Hlubočepy; 9 500 000 Kč, sklep, parkování, přízemní, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.023948669433594,14.398307800292969,2026-04-23 13:31:01.178533,True
sreality_byt_1494565708,1494565708,sreality,byt,/detail/prodej/byt/3+kk/praha-vinohrady-anny-letenske/1494565708,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-anny-letenske/1494565708,"Prodej bytu 3+kk 95 m² Anny Letenské, Praha - Vinohrady 23 600 000 Kč","Byt 3+kk 95 m² k prodeji Anny Letenské, Praha - Vinohrady; 23 600 000 Kč, výtah, patrový, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": false}",50.07820129394531,14.437886238098145,2026-04-23 13:31:01.178533,True
sreality_byt_3883680588,3883680588,sreality,byt,/detail/prodej/byt/2+kk/praha-smichov-nadrazni/3883680588,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-nadrazni/3883680588,"Prodej bytu 2+kk 44 m² Nádražní, Praha - Smíchov 10 340 691 Kč","Byt 2+kk 44 m² k prodeji Nádražní, Praha - Smíchov; 10 340 691 Kč, balkón, výtah, patrový, osobní vlastnictví, projekt",agency,osobní,D,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.0535607855029,14.4099713603787,2026-04-23 13:31:01.178533,True
sreality_byt_244990796,244990796,sreality,byt,/detail/prodej/byt/atypicky/praha-smichov-kobrova/244990796,https://www.sreality.cz/detail/prodej/byt/atypicky/praha-smichov-kobrova/244990796,"Prodej bytu atypický 134 m² Kobrova, Praha - Smíchov 20 990 000 Kč","Byt atypický 134 m² k prodeji Kobrova, Praha - Smíchov; 20 990 000 Kč, terasa, sklep, parkování, výtah, patrový, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,,,"{""balcony"": false, ""parking"": true, ""terrace"": true, ""elevator"": true, ""cellar"": true}",50.07223892211914,14.396434783935547,2026-04-23 13:31:01.178533,True
